ano,uf,total
2016-01-01 ,AL,1
2017-01-01 ,AL,2
2014-01-01 ,AL,3
2014-01-01 ,BA,26
2018-01-01 ,BA,31
2013-01-01 ,BA,34
2016-01-01 ,BA,40
2015-01-01 ,BA,41
2017-01-01 ,BA,41
2016-01-01 ,GO,8
2018-01-01 ,GO,8
2017-01-01 ,GO,11
2013-01-01 ,MG,18
2014-01-01 ,MG,43
2015-01-01 ,MG,62
2016-01-01 ,MG,108
2018-01-01 ,MG,148
2017-01-01 ,MG,174
2013-01-01 ,MT,1
2015-01-01 ,MT,1
2017-01-01 ,MT,1
2018-01-01 ,MT,5
2013-01-01 ,PB,1
2014-01-01 ,PB,1
2017-01-01 ,PB,1
2018-01-01 ,PB,1
2015-01-01 ,PB,2
2016-01-01 ,PB,3
2013-01-01 ,PR,5
2014-01-01 ,PR,9
2015-01-01 ,PR,15
2017-01-01 ,PR,17
2016-01-01 ,PR,18
2018-01-01 ,PR,29
2014-01-01 ,RS,6
2013-01-01 ,RS,11
2017-01-01 ,RS,14
2018-01-01 ,RS,18
2016-01-01 ,RS,19
2015-01-01 ,RS,24
2018-01-01 ,SC,1
2013-01-01 ,SC,3
2015-01-01 ,SC,3
2016-01-01 ,SC,10
2017-01-01 ,SC,11
2014-01-01 ,SC,17
2017-01-01 ,SP,184
2016-01-01 ,SP,193
2015-01-01 ,SP,247
2014-01-01 ,SP,259
2018-01-01 ,SP,364
2013-01-01 ,Total 10 UFs,73
2014-01-01 ,Total 10 UFs,364
2015-01-01 ,Total 10 UFs,395
2016-01-01 ,Total 10 UFs,400
2017-01-01 ,Total 10 UFs,456
2018-01-01 ,Total 10 UFs,605
